PROGRAMA_PPTAL,ACT_OBRA_ACCINV,GRUPO_FN,META,AVAN_FISICO_SEM,UBIGEO,SUBGENERICA_DET,MTO_PIA
1,2,2,13,0,130199,17,115
2,6,5,4,0,10199,7,10280
2,5,5,5,0,160603,8,178000
2,5,5,3,0,100902,8,16672
2,6,5,15,0,130101,15,2299
2,6,5,13,0,100101,15,22323
2,6,5,9,0,50601,21,2871
2,6,5,16,0,140199,17,180
2,6,5,12,0,90199,21,7706
1,2,2,7,0,50699,7,1496
2,6,5,11,0,80199,7,61804
2,6,5,4,0,10199,21,143
1,2,2,11,0,100199,4,690
2,6,5,20,0,180199,15,495
2,6,5,19,0,170199,13,938
2,6,5,12,0,90199,21,224
2,5,5,14,0,160605,8,0
2,6,5,11,63,80199,9,0
2,6,5,10,20,60199,7,45498
1,2,2,14,6,160199,7,1400
2,6,5,18,40,160199,16,0
1,2,2,2,6,10199,20,96000
1,2,2,7,6,50699,19,1917
2,6,5,14,26,120101,16,0
1,2,2,1,6,150101,7,148017
2,6,5,24,4,220199,15,174
1,2,2,21,6,250199,20,0
1,2,2,21,6,250199,4,133
2,6,5,3,0,150101,4,332406
2,6,5,27,6,150101,19,55000
1,2,2,2,6,10199,20,2333
2,6,5,12,51,90199,7,0
2,6,5,24,4,220199,20,0
1,2,2,8,6,60199,17,0
2,6,5,23,61,210199,9,0
2,6,5,25,4,230199,9,3587
2,6,5,4,16,10199,19,7215
2,6,5,19,2,170199,17,2458
2,6,5,1,61303,150199,14,16800
2,6,5,17,1,150303,9,308
1,2,2,13,6,130199,20,0
2,6,5,11,63,80199,17,66160
1,2,2,6,6,50199,15,1814
2,6,5,26,6,250199,19,0
2,6,5,18,40,160199,7,0
1,4,3,1,6,150101,14,26259
1,2,2,20,6,230199,11,400
2,6,5,19,2,170199,13,751
2,6,5,10,20,60199,15,55019
1,2,2,22,6,150101,19,47413
2,6,5,13,41,100101,9,7802
2,6,5,8,32,50101,19,0
2,6,5,12,51,90199,21,287
1,2,2,1,6,150101,23,16047
1,2,2,4,6,30199,20,0
2,6,5,17,1,150303,11,1840
1,2,2,2,6,10199,14,26500
1,2,2,4,6,30199,4,1104
1,2,2,10,6,90199,20,2333
1,2,2,5,6,40199,7,121346
1,2,2,3,6,20199,22,57035
